H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
78171.45299999999	-0.0690956952	-0.0690956952	-2.46861818E-007	-2.46861818E-007	300.003
78171.45299999999	-0.0690963964	-0.0690963964	-6.9253286E-007	-6.9253286E-007	300.003
78118.094	-0.0690957896	-0.0690957896	1.24530717E-007	1.24530717E-007	300.0032
78118.094	-0.0690967403	-0.0690967403	1.98809224E-007	1.98809224E-007	300.0032
78118.094	-0.0690957626	-0.0690957626	-6.18254353E-007	-6.18254353E-007	300.0032
78118.094	-0.069096329	-0.069096329	-2.40262974E-008	-2.40262974E-008	300.0032
78078.95299999999	-0.0690952705	-0.0690952705	5.70201758E-007	5.70201758E-007	300.0034
78078.95299999999	-0.069095857	-0.069095857	-2.46861818E-007	-2.46861818E-007	300.0034
78078.95299999999	-0.069094603	-0.069094603	1.98809224E-007	1.98809224E-007	300.0034
78039.44500000001	-0.0690953379	-0.0690953379	1.24530717E-007	1.24530717E-007	300.0026
78039.44500000001	-0.0690958907	-0.0690958907	5.02522096E-008	5.02522096E-008	300.0026
78039.44500000001	-0.0690953716	-0.0690953716	4.959232510000001E-007	4.959232510000001E-007	300.0026
78039.44500000001	-0.0690946772	-0.0690946772	5.70201758E-007	5.70201758E-007	300.0026
78000.5	-0.0690951491	-0.0690951491	6.44480265E-007	6.44480265E-007	300.0027
78000.5	-0.0690949536	-0.0690949536	-3.95418832E-007	-3.95418832E-007	300.0027
78000.5	-0.0690959245	-0.0690959245	-2.46861818E-007	-2.46861818E-007	300.0027
77963.04700000001	-0.069095911	-0.069095911	-3.21140325E-007	-3.21140325E-007	300.0029
77963.04700000001	-0.0690961132	-0.0690961132	-9.83048044E-008	-9.83048044E-008	300.0032
77963.04700000001	-0.0690957289	-0.0690957289	2.7308773E-007	2.7308773E-007	300.0032
77922.602	-0.06909577610000001	-0.06909577610000001	7.18758772E-007	7.18758772E-007	300.0034
77922.602	-0.0690961453	-0.0690961453	1.98809224E-007	1.98809224E-007	300.0034
77922.602	-0.06909597000000001	-0.06909597000000001	6.44480265E-007	6.44480265E-007	300.0034
77922.602	-0.06909642840000001	-0.06909642840000001	-4.69697339E-007	-4.69697339E-007	300.0034
77883.281	-0.0690955385	-0.0690955385	-7.66811367E-007	-7.66811367E-007	300.002
77883.281	-0.069095107	-0.069095107	1.98809224E-007	1.98809224E-007	300.002
77883.281	-0.0690956194	-0.0690956194	-6.9253286E-007	-6.9253286E-007	300.002
77883.281	-0.0690953429	-0.0690953429	7.18758772E-007	7.18758772E-007	300.002
77844.711	-0.0690961453	-0.0690961453	1.98809224E-007	1.98809224E-007	300.0021
77844.711	-0.06909645540000001	-0.06909645540000001	-2.46861818E-007	-2.46861818E-007	300.0021
77844.711	-0.0690959025	-0.0690959025	-3.21140325E-007	-3.21140325E-007	300.0021
77844.711	-0.0690955857	-0.0690955857	-6.18254353E-007	-6.18254353E-007	300.0021
77805.57799999999	-0.0690953969	-0.0690953969	1.0158728E-006	1.0158728E-006	300.0065
77805.57799999999	-0.069095289	-0.069095289	1.24530717E-007	1.24530717E-007	300.0065
77805.57799999999	-0.0690961385	-0.0690961385	-1.72582696E-007	-1.72582696E-007	300.0065
77805.57799999999	-0.0690960778	-0.0690960778	6.4448096E-007	6.4448096E-007	300.0065
77766.07000000001	-0.06909601040000001	-0.06909601040000001	-5.43975267E-007	-5.43975267E-007	300.0066
77766.07000000001	-0.0690957542	-0.0690957542	5.02528466E-008	5.02528466E-008	300.0066
77766.07000000001	-0.06909573400000001	-0.06909573400000001	4.95923932E-007	4.95923932E-007	300.0066
77766.07000000001	-0.0690958082	-0.0690958082	-6.18253781E-007	-6.18253781E-007	300.0066
77766.07000000001	-0.0690962666	-0.0690962666	-1.06392487E-006	-1.06392487E-006	300.0027
77714.57799999999	-0.0690952148	-0.0690952148	-1.72582696E-007	-1.72582696E-007	300.0029
77714.57799999999	-0.06909555200000001	-0.06909555200000001	-2.4686121E-007	-2.4686121E-007	300.0029
77714.57799999999	-0.0690960172	-0.0690960172	-6.92532295E-007	-6.92532295E-007	300.0029
77714.57799999999	-0.0690955654	-0.0690955654	2.73088389E-007	2.73088389E-007	300.0029
77675.44500000001	-0.0690956059	-0.0690956059	-1.28676041E-006	-1.28676041E-006	300.0031
77675.44500000001	-0.0690971566	-0.0690971566	1.24531361E-007	1.24531361E-007	300.0031
77675.44500000001	-0.0690955587	-0.0690955587	6.4448096E-007	6.4448096E-007	300.0031
77675.44500000001	-0.0690962868	-0.0690962868	4.21645418E-007	4.21645418E-007	300.0058
77636.117	-0.06909615869999999	-0.06909615869999999	-3.95418239E-007	-3.95418239E-007	300.0059
77636.117	-0.069096806	-0.069096806	-1.72582696E-007	-1.72582696E-007	300.0059
77636.117	-0.0690960644	-0.0690960644	-9.83041818E-008	-9.83041818E-008	300.0059
77636.117	-0.06909669139999999	-0.06909669139999999	-6.18253781E-007	-6.18253781E-007	300.0059
77597.359	-0.0690968734	-0.0690968734	-9.83041818E-008	-9.83041818E-008	300.006
77597.359	-0.0690967049	-0.0690967049	-1.21248189E-006	-1.21248189E-006	300.006
77597.359	-0.0690965565	-0.0690965565	-4.69696753E-007	-4.69696753E-007	300.0022
77557.664	-0.0690960644	-0.0690960644	1.24531361E-007	1.24531361E-007	300.0023
77557.664	-0.0690951744	-0.0690951744	2.73088389E-007	2.73088389E-007	300.0023
77557.664	-0.06909627340000001	-0.06909627340000001	1.98809875E-007	1.98809875E-007	300.0023
77557.664	-0.06909576770000001	-0.06909576770000001	-3.95418239E-007	-3.95418239E-007	300.0023
77519.656	-0.0690960711	-0.0690960711	-3.95418239E-007	-3.95418239E-007	300.0024
77519.656	-0.0690971027	-0.0690971027	-7.668108100000001E-007	-7.668108100000001E-007	300.0024
77519.656	-0.06909441249999999	-0.06909441249999999	9.41595017E-007	9.41595017E-007	300.0036
77479.95299999999	-0.0690967384	-0.0690967384	-3.21139724E-007	-3.21139724E-007	300.0038
77479.95299999999	-0.06909659680000001	-0.06909659680000001	6.4448096E-007	6.4448096E-007	300.0038
77479.95299999999	-0.0690965092	-0.0690965092	2.73088389E-007	2.73088389E-007	300.0038
77479.95299999999	-0.0690957069	-0.0690957069	-4.69696753E-007	-4.69696753E-007	300.0038
77440.266	-0.06909512030000001	-0.06909512030000001	-2.4686121E-007	-2.4686121E-007	300.0039
77440.266	-0.0690955586	-0.0690955586	-1.80671001E-006	-1.80671001E-006	300.0039
77440.266	-0.0690947495	-0.0690947495	-1.43531744E-006	-1.43531744E-006	300.0036
77400.938	-0.0690956529	-0.0690956529	-2.40256676E-008	-2.40256676E-008	300.0038
77400.938	-0.06909545070000001	-0.06909545070000001	4.21645418E-007	4.21645418E-007	300.0038
77400.938	-0.0690948911	-0.0690948911	-5.43975267E-007	-5.43975267E-007	300.0038
77400.938	-0.06909536300000001	-0.06909536300000001	3.47366903E-007	3.47366903E-007	300.0038
77400.938	-0.0690960575	-0.0690960575	9.41595017E-007	9.41595017E-007	300.0038
77362.367	-0.0690955046	-0.0690955046	6.4448096E-007	6.4448096E-007	300.0039
77362.367	-0.0690942641	-0.0690942641	4.21645418E-007	4.21645418E-007	300.0039
77362.367	-0.0690951068	-0.0690951068	1.98809875E-007	1.98809875E-007	300.0039
77362.367	-0.06909565970000001	-0.06909565970000001	9.41595017E-007	9.41595017E-007	300.0036
77362.367	-0.0690954372	-0.0690954372	1.98809875E-007	1.98809875E-007	300.0036
77362.367	-0.06909539670000001	-0.06909539670000001	-9.15367838E-007	-9.15367838E-007	300.0036
77310.313	-0.0690954844	-0.0690954844	2.13005124E-006	2.13005124E-006	300.0038
77310.313	-0.0690951338	-0.0690951338	4.95923932E-007	4.95923932E-007	300.0038
77310.313	-0.0690963946	-0.0690963946	-2.40256676E-008	-2.40256676E-008	300.0038
77270.992	-0.06909461460000001	-0.06909461460000001	5.70202446E-007	5.70202446E-007	300.004
77270.992	-0.0690951338	-0.0690951338	-6.92532295E-007	-6.92532295E-007	300.004
77270.992	-0.0690952282	-0.0690952282	7.18759474E-007	7.18759474E-007	300.0028
77270.992	-0.0690954574	-0.0690954574	4.95923932E-007	4.95923932E-007	300.0028
77232.789	-0.0690949248	-0.0690949248	-9.83041818E-008	-9.83041818E-008	300.0029
77232.789	-0.0690950664	-0.0690950664	-6.18253781E-007	-6.18253781E-007	300.0029
77232.789	-0.0690948237	-0.0690948237	7.93037989E-007	7.93037989E-007	300.0029
77192.727	-0.06909539670000001	-0.06909539670000001	-4.69696753E-007	-4.69696753E-007	300.0031
77192.727	-0.0690959496	-0.0690959496	5.70202446E-007	5.70202446E-007	300.0031
77192.727	-0.0690957473	-0.0690957473	-5.43975267E-007	-5.43975267E-007	300.0015
77192.727	-0.0690947428	-0.0690947428	1.24531361E-007	1.24531361E-007	300.0015
77153.586	-0.0690948978	-0.0690948978	-4.69696753E-007	-4.69696753E-007	300.0017
77153.586	-0.06909520800000001	-0.06909520800000001	1.24531361E-007	1.24531361E-007	300.0017
77153.586	-0.0690955451	-0.0690955451	-8.41089324E-007	-8.41089324E-007	300.0017
77153.586	-0.0690951675	-0.0690951675	3.47366903E-007	3.47366903E-007	300.0017
77114.45299999999	-0.0690954102	-0.0690954102	1.01587353E-006	1.01587353E-006	300.0018
77114.45299999999	-0.0690957406	-0.0690957406	6.4448096E-007	6.4448096E-007	300.0024
77114.45299999999	-0.0690955046	-0.0690955046	-4.69696753E-007	-4.69696753E-007	300.0024
77114.45299999999	-0.069093846	-0.069093846	5.70202446E-007	5.70202446E-007	300.0024
77077.008	-0.0690952147	-0.0690952147	-6.18253781E-007	-6.18253781E-007	300.0026
77077.008	-0.06909511560000001	-0.06909511560000001	-3.95418239E-007	-3.95418239E-007	300.0026
77077.008	-0.0690949672	-0.0690949672	-2.4686121E-007	-2.4686121E-007	300.0026
77036.188	-0.06909490660000001	-0.06909490660000001	1.24531361E-007	1.24531361E-007	300.0027
77036.188	-0.0690936323	-0.0690936323	-1.72582696E-007	-1.72582696E-007	300.003
77036.188	-0.0690939559	-0.0690939559	-6.18253781E-007	-6.18253781E-007	300.003
76998.54700000001	-0.06909427949999999	-0.06909427949999999	-1.72582696E-007	-1.72582696E-007	300.0031
76998.54700000001	-0.0690938076	-0.0690938076	-5.43975267E-007	-5.43975267E-007	300.0031
