H (Oe)	V1(NONE) (V)	V2(6-11) (V)	V3(NONE) (V)	I(1-16) (A)	T (K)
79232.19500000001	0.0191729163	0.0191729163	9.899999999999999E+037	9.899999999999999E+037	300.0005
79232.19500000001	0.0191714195	0.0191714195	9.899999999999999E+037	9.899999999999999E+037	300.0005
79232.19500000001	0.0191725792	0.0191725792	9.899999999999999E+037	9.899999999999999E+037	300.0005
79232.19500000001	0.0191728475	0.0191728475	9.899999999999999E+037	9.899999999999999E+037	300.0005
79192.125	0.0191727599	0.0191727599	9.899999999999999E+037	9.899999999999999E+037	300.001
79192.125	0.0191724295	0.0191724295	9.899999999999999E+037	9.899999999999999E+037	300.001
79192.125	0.0191723688	0.0191723688	9.899999999999999E+037	9.899999999999999E+037	300.001
79192.125	0.0191725913	0.0191725913	9.899999999999999E+037	9.899999999999999E+037	300.001
79152.242	0.019171998	0.019171998	9.899999999999999E+037	9.899999999999999E+037	300.0011
79152.242	0.0191725104	0.0191725104	9.899999999999999E+037	9.899999999999999E+037	300.0011
79152.242	0.0191718227	0.0191718227	9.899999999999999E+037	9.899999999999999E+037	300.0011
79152.242	0.0191715396	0.0191715396	9.899999999999999E+037	9.899999999999999E+037	300.0011
79152.242	0.0191723014	0.0191723014	9.899999999999999E+037	9.899999999999999E+037	300.0011
79112.734	0.0191734408	0.0191734408	9.899999999999999E+037	9.899999999999999E+037	300.0007
79112.734	0.0191725981	0.0191725981	9.899999999999999E+037	9.899999999999999E+037	300.0007
79112.734	0.0191723823	0.0191723823	9.899999999999999E+037	9.899999999999999E+037	300.0007
79112.734	0.019172679	0.019172679	9.899999999999999E+037	9.899999999999999E+037	300.0007
79073.977	0.0191720655	0.0191720655	9.899999999999999E+037	9.899999999999999E+037	300.0008
79073.977	0.0191732858	0.0191732858	9.899999999999999E+037	9.899999999999999E+037	300.0008
79073.977	0.0191727464	0.0191727464	9.899999999999999E+037	9.899999999999999E+037	300.0008
79073.977	0.0191723284	0.0191723284	9.899999999999999E+037	9.899999999999999E+037	300.0008
79073.977	0.0191727532	0.0191727532	9.899999999999999E+037	9.899999999999999E+037	300.0008
79032.594	0.0191727194	0.0191727194	9.899999999999999E+037	9.899999999999999E+037	299.9991
79032.594	0.0191720452	0.0191720452	9.899999999999999E+037	9.899999999999999E+037	299.9991
79032.594	0.0191725441	0.0191725441	9.899999999999999E+037	9.899999999999999E+037	299.9991
79032.594	0.0191718497	0.0191718497	9.899999999999999E+037	9.899999999999999E+037	299.9991
78992.898	0.0191719171	0.0191719171	9.899999999999999E+037	9.899999999999999E+037	299.9993
78992.898	0.019172234	0.019172234	9.899999999999999E+037	9.899999999999999E+037	299.9993
78992.898	0.0191723756	0.0191723756	9.899999999999999E+037	9.899999999999999E+037	299.9993
78992.898	0.0191725441	0.0191725441	9.899999999999999E+037	9.899999999999999E+037	299.9993
78992.898	0.0191720789	0.0191720789	9.899999999999999E+037	9.899999999999999E+037	300.0002
78941.773	0.0191716474	0.0191716474	9.899999999999999E+037	9.899999999999999E+037	300.0004
78941.773	0.019172261	0.019172261	9.899999999999999E+037	9.899999999999999E+037	300.0004
78941.773	0.0191722273	0.0191722273	9.899999999999999E+037	9.899999999999999E+037	300.0004
78941.773	0.0191729487	0.0191729487	9.899999999999999E+037	9.899999999999999E+037	300.0004
78902.273	0.0191720924	0.0191720924	9.899999999999999E+037	9.899999999999999E+037	300.0005
78902.273	0.0191715868	0.0191715868	9.899999999999999E+037	9.899999999999999E+037	300.0005
78902.273	0.0191719711	0.0191719711	9.899999999999999E+037	9.899999999999999E+037	300.0005
78902.273	0.0191724295	0.0191724295	9.899999999999999E+037	9.899999999999999E+037	300.002
78902.273	0.0191728678	0.0191728678	9.899999999999999E+037	9.899999999999999E+037	300.002
78861.82000000001	0.0191713373	0.0191713373	9.899999999999999E+037	9.899999999999999E+037	300.0022
78861.82000000001	0.019171135	0.019171135	9.899999999999999E+037	9.899999999999999E+037	300.0022
78861.82000000001	0.0191707777	0.0191707777	9.899999999999999E+037	9.899999999999999E+037	300.0022
78822.5	0.0191727397	0.0191727397	9.899999999999999E+037	9.899999999999999E+037	300.0023
78822.5	0.0191717216	0.0191717216	9.899999999999999E+037	9.899999999999999E+037	300.0023
78822.5	0.0191726251	0.0191726251	9.899999999999999E+037	9.899999999999999E+037	300.0023
78822.5	0.0191720924	0.0191720924	9.899999999999999E+037	9.899999999999999E+037	300.0008
78782.992	0.019171789	0.019171789	9.899999999999999E+037	9.899999999999999E+037	300.001
78782.992	0.0191716258	0.0191716258	9.899999999999999E+037	9.899999999999999E+037	300.001
78782.992	0.0191722258	0.0191722258	9.899999999999999E+037	9.899999999999999E+037	300.001
78782.992	0.0191715921	0.0191715921	9.899999999999999E+037	9.899999999999999E+037	300.001
78743.484	0.0191721651	0.0191721651	9.899999999999999E+037	9.899999999999999E+037	300.0011
78743.484	0.0191722932	0.0191722932	9.899999999999999E+037	9.899999999999999E+037	300.0011
78743.484	0.0191720438	0.0191720438	9.899999999999999E+037	9.899999999999999E+037	300.0011
78743.484	0.0191719022	0.0191719022	9.899999999999999E+037	9.899999999999999E+037	300.0005
78743.484	0.0191713561	0.0191713561	9.899999999999999E+037	9.899999999999999E+037	300.0005
78703.977	0.0191719966	0.0191719966	9.899999999999999E+037	9.899999999999999E+037	300.0007
78703.977	0.0191728596	0.0191728596	9.899999999999999E+037	9.899999999999999E+037	300.0007
78703.977	0.0191715246	0.0191715246	9.899999999999999E+037	9.899999999999999E+037	300.0007
78703.977	0.0191717471	0.0191717471	9.899999999999999E+037	9.899999999999999E+037	300.0007
78664.469	0.0191724348	0.0191724348	9.899999999999999E+037	9.899999999999999E+037	300.0009
78664.469	0.0191717741	0.0191717741	9.899999999999999E+037	9.899999999999999E+037	300.0009
78664.469	0.0191716393	0.0191716393	9.899999999999999E+037	9.899999999999999E+037	300.0009
