H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
78455.883	0.0681702829	0.0681702829	-3.95560273E-007	-3.95560273E-007	300.0028
78416.563	0.0681688603	0.0681688603	-3.95560273E-007	-3.95560273E-007	300.003
78416.563	0.06816789619999999	0.06816789619999999	-4.69837055E-007	-4.69837055E-007	300.003
78416.563	0.0681686985	0.0681686985	-1.58398879E-006	-1.58398879E-006	300.003
78416.563	0.0681695412	0.0681695412	-5.44113837E-007	-5.44113837E-007	300.003
78377.609	0.0681690828	0.0681690828	-1.06405131E-006	-1.06405131E-006	300.0031
78377.609	0.06816874570000001	0.06816874570000001	-1.72729927E-007	-1.72729927E-007	300.0031
78377.609	0.06816863099999999	0.06816863099999999	-1.13832809E-006	-1.13832809E-006	300.0037
78338.289	0.0681680917	0.0681680917	-3.21283491E-007	-3.21283491E-007	300.0038
78338.289	0.0681686782	0.0681686782	-6.18390619E-007	-6.18390619E-007	300.0038
78338.289	0.0681685636	0.0681685636	-2.47006709E-007	-2.47006709E-007	300.0038
78338.289	0.0681681861	0.0681681861	-5.44113837E-007	-5.44113837E-007	300.0038
78298.781	0.0681670399	0.0681670399	-3.95560273E-007	-3.95560273E-007	300.004
78298.781	0.0681689816	0.0681689816	-9.154977480000001E-007	-9.154977480000001E-007	300.004
78298.781	0.068167195	0.068167195	-6.92667401E-007	-6.92667401E-007	300.0034
78259.461	0.06816817259999999	0.06816817259999999	5.70037894E-007	5.70037894E-007	300.0035
78259.461	0.0681677141	0.0681677141	-7.66944183E-007	-7.66944183E-007	300.0035
78259.461	0.06816643310000001	0.06816643310000001	-4.69837055E-007	-4.69837055E-007	300.0035
78259.461	0.0681687996	0.0681687996	-1.72729927E-007	-1.72729927E-007	300.0035
78220.891	0.06816792989999999	0.06816792989999999	1.98653984E-007	1.98653984E-007	300.0037
78220.891	0.0681681524	0.0681681524	-1.509712E-006	-1.509712E-006	300.0037
78220.891	0.0681670804	0.0681670804	-6.92667401E-007	-6.92667401E-007	300.0046
78220.891	0.0681681254	0.0681681254	-2.47006709E-007	-2.47006709E-007	300.0046
78168.648	0.0681672354	0.0681672354	1.24377202E-007	1.24377202E-007	300.0048
78168.648	0.0681675321	0.0681675321	-6.18390619E-007	-6.18390619E-007	300.0048
78168.648	0.0681674892	0.0681674892	-3.21283491E-007	-3.21283491E-007	300.0048
78168.648	0.06816822409999999	0.06816822409999999	-9.84531447E-008	-9.84531447E-008	300.0048
78128.20299999999	0.06816703070000001	0.06816703070000001	-1.72729927E-007	-1.72729927E-007	300.0049
78128.20299999999	0.0681671116	0.0681671116	-1.06405131E-006	-1.06405131E-006	300.004
78128.20299999999	0.068167806	0.068167806	-4.69837055E-007	-4.69837055E-007	300.004
78128.20299999999	0.068167833	0.068167833	-5.44113837E-007	-5.44113837E-007	300.004
78090.563	0.0681670981	0.0681670981	-3.95560273E-007	-3.95560273E-007	300.0042
78090.563	0.0681664441	0.0681664441	-7.66944183E-007	-7.66944183E-007	300.0042
78090.563	0.0681665655	0.0681665655	-2.41763626E-008	-2.41763626E-008	300.0042
78090.563	0.06816852750000001	0.06816852750000001	-9.8977453E-007	-9.8977453E-007	300.0042
78050.30499999999	0.0681678263	0.0681678263	-2.41763626E-008	-2.41763626E-008	300.0043
78050.30499999999	0.0681672802	0.0681672802	-2.41763626E-008	-2.41763626E-008	300.0022
78050.30499999999	0.06816696329999999	0.06816696329999999	-5.44113837E-007	-5.44113837E-007	300.0022
78050.30499999999	0.0681673139	0.0681673139	-4.69837055E-007	-4.69837055E-007	300.0022
78010.984	0.068168669	0.068168669	-5.44113837E-007	-5.44113837E-007	300.0024
78010.984	0.06816747569999999	0.06816747569999999	-3.95560273E-007	-3.95560273E-007	300.0024
78010.984	0.06816699699999999	0.06816699699999999	-5.44113837E-007	-5.44113837E-007	300.0024
77972.039	0.06816630260000001	0.06816630260000001	-6.18390619E-007	-6.18390619E-007	300.0025
77972.039	0.06816703070000001	0.06816703070000001	-1.72729927E-007	-1.72729927E-007	300.0031
77972.039	0.0681673813	0.0681673813	-3.95560273E-007	-3.95560273E-007	300.0031
77972.039	0.068167624	0.068167624	-1.06405131E-006	-1.06405131E-006	300.0031
77931.969	0.0681666397	0.0681666397	5.01004195E-008	5.01004195E-008	300.0033
77931.969	0.06816657900000001	0.06816657900000001	2.72930766E-007	2.72930766E-007	300.0033
77931.969	0.06816696999999999	0.06816696999999999	-1.06405131E-006	-1.06405131E-006	300.0033
77931.969	0.068166343	0.068166343	1.98653984E-007	1.98653984E-007	300.0033
77893.95299999999	0.0681661542	0.0681661542	-9.154977480000001E-007	-9.154977480000001E-007	300.0034
77893.95299999999	0.0681663228	0.0681663228	4.957611120000001E-007	4.957611120000001E-007	300.0034
77893.95299999999	0.0681646844	0.0681646844	5.01004195E-008	5.01004195E-008	300.0022
77855.383	0.06816727340000001	0.06816727340000001	-9.154977480000001E-007	-9.154977480000001E-007	300.0023
77855.383	0.0681659183	0.0681659183	-9.154977480000001E-007	-9.154977480000001E-007	300.0023
77855.383	0.0681663565	0.0681663565	-8.41220966E-007	-8.41220966E-007	300.0023
77855.383	0.0681667475	0.0681667475	-9.84531447E-008	-9.84531447E-008	300.0023
77816.625	0.0681661205	0.0681661205	3.47207548E-007	3.47207548E-007	300.0025
77816.625	0.0681664037	0.0681664037	-3.95560273E-007	-3.95560273E-007	300.0028
77816.625	0.0681653991	0.0681653991	5.01004195E-008	5.01004195E-008	300.0028
77816.625	0.0681655677	0.0681655677	1.98653984E-007	1.98653984E-007	300.0028
77816.625	0.0681654193	0.0681654193	-1.72729927E-007	-1.72729927E-007	300.0028
77763.44500000001	0.0681653654	0.0681653654	-5.44113837E-007	-5.44113837E-007	300.003
77763.44500000001	0.0681661273	0.0681661273	-1.13832809E-006	-1.13832809E-006	300.003
77763.44500000001	0.0681663228	0.0681663228	-5.44113837E-007	-5.44113837E-007	300.003
77763.44500000001	0.06816637	0.06816637	-3.21283491E-007	-3.21283491E-007	300.003
77763.44500000001	0.0681649002	0.0681649002	-3.95560273E-007	-3.95560273E-007	300.003
77723.938	0.06816598829999999	0.06816598829999999	-1.72729927E-007	-1.72729927E-007	300.0034
77723.938	0.0681666625	0.0681666625	-9.154977480000001E-007	-9.154977480000001E-007	300.0034
77723.938	0.0681656579	0.0681656579	-6.18390619E-007	-6.18390619E-007	300.0034
77723.938	0.0681657118	0.0681657118	-4.69837055E-007	-4.69837055E-007	300.0034
77684.42999999999	0.0681660152	0.0681660152	-5.44113837E-007	-5.44113837E-007	300.0036
77684.42999999999	0.06816475449999999	0.06816475449999999	-5.44113837E-007	-5.44113837E-007	300.0036
77684.42999999999	0.0681648556	0.0681648556	6.44314676E-007	6.44314676E-007	300.0036
77684.42999999999	0.0681644983	0.0681644983	-2.41763626E-008	-2.41763626E-008	300.0036
77645.67200000001	0.06816379710000001	0.06816379710000001	-7.66944183E-007	-7.66944183E-007	300.0028
77645.67200000001	0.0681642083	0.0681642083	-6.92667401E-007	-6.92667401E-007	300.0028
77645.67200000001	0.06816503090000001	0.06816503090000001	-6.92667401E-007	-6.92667401E-007	300.0028
77607.469	0.0681648556	0.0681648556	-6.18390619E-007	-6.18390619E-007	300.003
77607.469	0.0681647747	0.0681647747	5.70037894E-007	5.70037894E-007	300.003
77607.469	0.0681650174	0.0681650174	-9.84531447E-008	-9.84531447E-008	300.003
77607.469	0.0681648758	0.0681648758	1.98653984E-007	1.98653984E-007	300.003
77568.336	0.06816482190000001	0.06816482190000001	-7.66944183E-007	-7.66944183E-007	300.0037
77568.336	0.0681641207	0.0681641207	-8.41220966E-007	-8.41220966E-007	300.0037
77568.336	0.06816449149999999	0.06816449149999999	-1.13832809E-006	-1.13832809E-006	300.0037
77568.336	0.0681639049	0.0681639049	-1.13832809E-006	-1.13832809E-006	300.0037
77528.45299999999	0.0681646736	0.0681646736	-9.84531447E-008	-9.84531447E-008	300.0038
77528.45299999999	0.068164033	0.068164033	-6.18390619E-007	-6.18390619E-007	300.0038
77528.45299999999	0.0681650241	0.0681650241	-6.18390619E-007	-6.18390619E-007	300.0038
77490.258	0.0681629476	0.0681629476	1.24377202E-007	1.24377202E-007	300.0022
77490.258	0.06816503090000001	0.06816503090000001	-6.92667401E-007	-6.92667401E-007	300.0022
77490.258	0.0681641611	0.0681641611	-1.28688166E-006	-1.28688166E-006	300.0022
77450.938	0.0681644983	0.0681644983	-1.28688166E-006	-1.28688166E-006	300.0023
77450.938	0.0681641814	0.0681641814	-3.95560273E-007	-3.95560273E-007	300.0023
77450.938	0.06816377010000001	0.06816377010000001	1.98653984E-007	1.98653984E-007	300.0023
77450.938	0.06816404650000001	0.06816404650000001	-2.41763626E-008	-2.41763626E-008	300.0023
77411.992	0.06816373639999999	0.06816373639999999	1.23852893E-006	1.23852893E-006	300.0042
77411.992	0.0681637297	0.0681637297	-1.72729927E-007	-1.72729927E-007	300.0042
77411.992	0.06816428250000001	0.06816428250000001	-1.88109591E-006	-1.88109591E-006	300.0042
77411.992	0.0681635476	0.0681635476	-4.69837055E-007	-4.69837055E-007	300.0042
77411.992	0.0681636285	0.0681636285	-9.154977480000001E-007	-9.154977480000001E-007	300.0042
77358.813	0.0681638443	0.0681638443	-9.154977480000001E-007	-9.154977480000001E-007	300.0045
77358.813	0.06816259700000001	0.06816259700000001	-3.21283491E-007	-3.21283491E-007	300.0045
77358.813	0.0681639724	0.0681639724	5.01004195E-008	5.01004195E-008	300.0045
77358.813	0.0681643769	0.0681643769	8.67145022E-007	8.67145022E-007	300.0024
77319.867	0.0681642151	0.0681642151	5.70037894E-007	5.70037894E-007	300.0025
77319.867	0.06816377680000001	0.06816377680000001	-1.72729927E-007	-1.72729927E-007	300.0025
77319.867	0.0681634397	0.0681634397	1.98653984E-007	1.98653984E-007	300.0025
77319.867	0.0681635074	0.0681635074	5.70037894E-007	5.70037894E-007	300.0025
77319.867	0.0681646872	0.0681646872	1.24377202E-007	1.24377202E-007	300.0025
77280.727	0.0681623477	0.0681623477	-6.92667401E-007	-6.92667401E-007	300.0027
77280.727	0.06816318370000001	0.06816318370000001	1.24377202E-007	1.24377202E-007	300.0027
77280.727	0.06816404669999999	0.06816404669999999	-6.92667401E-007	-6.92667401E-007	300.0009
77242.156	0.06816393210000001	0.06816393210000001	4.957611120000001E-007	4.957611120000001E-007	300.001
77242.156	0.06816315000000001	0.06816315000000001	-6.18390619E-007	-6.18390619E-007	300.001
77242.156	0.0681635276	0.0681635276	5.70037894E-007	5.70037894E-007	300.001
77242.156	0.06816362199999999	0.06816362199999999	2.72930766E-007	2.72930766E-007	300.001
77203.023	0.0681651794	0.0681651794	4.2148433E-007	4.2148433E-007	300.0012
77203.023	0.06816368940000001	0.06816368940000001	4.2148433E-007	4.2148433E-007	300.0012
77203.023	0.0681629747	0.0681629747	-9.84531447E-008	-9.84531447E-008	300.0012
77164.44500000001	0.0681643636	0.0681643636	-9.8977453E-007	-9.8977453E-007	300.0004
77164.44500000001	0.06816362870000001	0.06816362870000001	5.01004195E-008	5.01004195E-008	300.0004
77164.44500000001	0.0681631298	0.0681631298	-3.21283491E-007	-3.21283491E-007	300.0004
77164.44500000001	0.0681635208	0.0681635208	-1.06405131E-006	-1.06405131E-006	300.0004
77124.563	0.0681636085	0.0681636085	-8.41220966E-007	-8.41220966E-007	300.0006
77124.563	0.0681637501	0.0681637501	-3.21283491E-007	-3.21283491E-007	300.0006
77124.563	0.0681626107	0.0681626107	-4.69837055E-007	-4.69837055E-007	300.0006
77124.563	0.0681632175	0.0681632175	1.24377202E-007	1.24377202E-007	300.0033
77085.05499999999	0.0681634399	0.0681634399	-1.72729927E-007	-1.72729927E-007	300.0034
77085.05499999999	0.06816310959999999	0.06816310959999999	-1.72729927E-007	-1.72729927E-007	300.0034
77085.05499999999	0.0681621724	0.0681621724	-3.95560273E-007	-3.95560273E-007	300.0034
77085.05499999999	0.06816305559999999	0.06816305559999999	-2.41763626E-008	-2.41763626E-008	300.0034
77047.42200000001	0.06816356799999999	0.06816356799999999	4.957611120000001E-007	4.957611120000001E-007	300.0035
77047.42200000001	0.0681629747	0.0681629747	-2.41763626E-008	-2.41763626E-008	300.0035
77047.42200000001	0.068162759	0.068162759	-1.73254235E-006	-1.73254235E-006	300.0014
77008.102	0.068162995	0.068162995	2.72930766E-007	2.72930766E-007	300.0016
77008.102	0.0681629747	0.0681629747	-2.47006709E-007	-2.47006709E-007	300.0016
77008.102	0.0681632849	0.0681632849	-2.47006709E-007	-2.47006709E-007	300.0016
77008.102	0.0681631298	0.0681631298	-5.44113837E-007	-5.44113837E-007	300.0016
77008.102	0.0681627388	0.0681627388	-9.84531447E-008	-9.84531447E-008	300.0016
76956.42200000001	0.0681620174	0.0681620174	7.928682400000001E-007	7.928682400000001E-007	300.0018
76956.42200000001	0.068161478	0.068161478	-6.18390463E-007	-6.18390463E-007	300
76916.531	0.0681619634	0.0681619634	4.95761298E-007	4.95761298E-007	300.0001
76916.531	0.0681623208	0.0681623208	-6.18390463E-007	-6.18390463E-007	300.0001
76916.531	0.0681625095	0.0681625095	-1.72729759E-007	-1.72729759E-007	300.0001
76916.531	0.0681623073	0.0681623073	-4.69836895E-007	-4.69836895E-007	300.0001
76877.023	0.068161896	0.068161896	2.72930946E-007	2.72930946E-007	300.0002
76877.023	0.0681633109	0.0681633109	-5.44113679E-007	-5.44113679E-007	300.0002
76877.023	0.0681620839	0.0681620839	-1.58398866E-006	-1.58398866E-006	300.0002
76877.023	0.06816168609999999	0.06816168609999999	-5.44113679E-007	-5.44113679E-007	300.0002
76838.45299999999	0.068162185	0.068162185	-9.845297470000001E-008	-9.845297470000001E-008	300.0004
76838.45299999999	0.0681624614	0.0681624614	-3.21283327E-007	-3.21283327E-007	300.0004
76838.45299999999	0.0681624547	0.0681624547	6.443148660000001E-007	6.443148660000001E-007	300.0004
76799.32000000001	0.0681626637	0.0681626637	7.1859165E-007	7.1859165E-007	300.0006
76799.32000000001	0.0681629064	0.0681629064	-9.845297470000001E-008	-9.845297470000001E-008	300.0006
76799.32000000001	0.068161949	0.068161949	-6.92667247E-007	-6.92667247E-007	300.0018
76799.32000000001	0.0681618816	0.0681618816	-6.92667247E-007	-6.92667247E-007	300.0018
76759.25	0.0681625625	0.0681625625	-5.44113679E-007	-5.44113679E-007	300.0019
76759.25	0.068162367	0.068162367	-1.13832795E-006	-1.13832795E-006	300.0019
76759.25	0.0681618142	0.0681618142	5.01005934E-008	5.01005934E-008	300.0019
76721.42999999999	0.0681618749	0.0681618749	-2.47006543E-007	-2.47006543E-007	300.002
76721.42999999999	0.0681627311	0.0681627311	-4.69836895E-007	-4.69836895E-007	300.002
76721.42999999999	0.06816190179999999	0.06816190179999999	4.21484514E-007	4.21484514E-007	300.0017
76721.42999999999	0.0681615445	0.0681615445	1.24377377E-007	1.24377377E-007	300.0017
76682.477	0.06816246820000001	0.06816246820000001	-9.845297470000001E-008	-9.845297470000001E-008	300.0019
76682.477	0.0681620434	0.0681620434	-9.845297470000001E-008	-9.845297470000001E-008	300.0019
76682.477	0.0681616524	0.0681616524	-1.72729759E-007	-1.72729759E-007	300.0019
76682.477	0.06816099840000001	0.06816099840000001	-5.44113679E-007	-5.44113679E-007	300.0019
76641.469	0.0681613759	0.0681613759	-9.89774383E-007	-9.89774383E-007	300.002
76641.469	0.0681616254	0.0681616254	1.98654161E-007	1.98654161E-007	299.9999
76641.469	0.0681625491	0.0681625491	-5.44113679E-007	-5.44113679E-007	299.9999
76602.711	0.0681617939	0.0681617939	-1.72729759E-007	-1.72729759E-007	299.9999
76602.711	0.0681623603	0.0681623603	-3.95560111E-007	-3.95560111E-007	300.0001
76602.711	0.0681599938	0.0681599938	-2.47006543E-007	-2.47006543E-007	300.0001
76602.711	0.0681618344	0.0681618344	-1.06405117E-006	-1.06405117E-006	300.0001
76602.711	0.0681611669	0.0681611669	1.98654161E-007	1.98654161E-007	300.0001
