时间	热浴温度/K	样品电阻/Ω	参考电阻/Ω	磁场电压
1908.037092924118	nan	2442.19	3994.0	4.42317357e-05
1908.821789741516	nan	2442.19	3994.4	4.29059483e-05
1909.555419921875	nan	2442.2	3994.2	4.46817867e-05
1910.287990808487	nan	2442.19	3994.3	4.398848e-05
1911.0357089042664	nan	2442.21	3994.5	4.37817042e-05
1911.8214089870453	nan	2442.19	3994.2	4.67982004e-05
1912.5555982589722	nan	2442.16	3994.2	4.45601573e-05
1913.29053068161	nan	2442.19	3994.2	4.31978701e-05
1914.0293152332306	nan	2442.24	3994.3	4.38181973e-05
1914.823097229004	nan	2442.22	3994.2	4.43655448e-05
1915.5560405254364	nan	2442.17	3994.0	4.48398973e-05
1916.28937125206	nan	2442.2	3994.1	4.42803867e-05
1917.036152601242	nan	2442.18	3994.2	4.45966318e-05
1917.8349845409393	nan	2442.19	3994.3	4.42195703e-05
1918.6397626399994	nan	2442.21	3994.1	4.47425911e-05
1919.3733415603638	nan	2442.21	3994.3	4.32586588e-05
1920.1370129585266	nan	2442.18	3994.0	4.43168633e-05
1920.9411134719849	nan	2442.17	3994.2	4.51318024e-05
1921.6806592941284	nan	2442.16	3994.0	4.43411899e-05
1922.445467710495	nan	2442.21	3994.0	4.4572292e-05
1923.1851980686188	nan	2442.19	3994.3	4.35019142e-05
1923.9469230175018	nan	2442.17	3994.4	4.38789754e-05
1924.6847598552704	nan	2442.14	3994.3	4.45722817e-05
1925.4227538108826	nan	2442.17	3994.0	4.52655879e-05
1926.1574738025665	nan	2442.18	3994.3	4.47547278e-05
1926.8911736011505	nan	2442.15	3994.5	4.48033809e-05
1927.6234357357025	nan	2442.16	3994.5	4.55453402e-05
1928.3580780029297	nan	2442.16	3994.5	4.52899116e-05
1929.0926568508148	nan	2442.19	3994.5	4.45601156e-05
1929.8507626056671	nan	2442.17	3994.4	4.55210316e-05
1930.587863445282	nan	2442.16	3993.1	4.45601332e-05
1931.3238244056702	nan	2442.16	3991.4	4.60440523e-05
1932.0609924793243	nan	2442.15	3991.0	4.39154798e-05
1932.8178532123566	nan	2442.16	3990.8	4.40979289e-05
1933.5508363246918	nan	2442.13	3990.6	4.51683046e-05
1934.2890944480896	nan	2442.17	3990.7	4.43047121e-05
1935.0393669605255	nan	2442.13	3992.7	4.38060179e-05
1935.8245031833649	nan	2442.13	3993.7	4.51926311e-05
1936.5600535869598	nan	2442.12	3993.9	4.3720875e-05
1937.2952497005463	nan	2442.14	3993.8	4.35992303e-05
1938.0396382808685	nan	2442.14	3994.1	4.35140875e-05
1938.8249430656433	nan	2442.12	3994.1	4.48033941e-05
1939.5586335659027	nan	2442.15	3994.3	4.43655164e-05
1940.2920517921448	nan	2442.13	3993.9	4.53385795e-05
1941.0498220920563	nan	2442.11	3994.0	4.50831509e-05
1941.8246352672577	nan	2442.12	3994.2	4.61048656e-05
1942.5579335689545	nan	2442.16	3993.8	4.3246497e-05
1943.2928233146667	nan	2442.14	3993.7	4.51196407e-05
1944.0367047786713	nan	2442.12	3993.6	4.57399596e-05
1944.8252565860748	nan	2442.13	3993.8	4.44506532e-05
1945.5635623931885	nan	2442.09	3993.8	4.44384899e-05
1946.2970921993256	nan	2442.1	3993.7	4.51196329e-05
1947.0404224395752	nan	2442.1	3994.0	4.46209389e-05
1947.8256344795227	nan	2442.11	3994.2	4.49006998e-05
1948.5583889484406	nan	2442.11	3994.6	4.53629041e-05
1949.2946031093597	nan	2442.13	3994.6	4.38546586e-05
1950.0406875610352	nan	2442.15	3994.2	4.65427413e-05
1950.8201797008514	nan	2442.12	3994.0	4.45722915e-05
1951.5545563697815	nan	2442.13	3993.9	4.46817739e-05
1952.2957298755646	nan	2442.12	3994.1	4.52291212e-05
1953.0409343242645	nan	2442.14	3994.2	4.50345088e-05
1953.8279218673706	nan	2442.15	3994.1	4.4730427e-05
1954.5636088848114	nan	2442.12	3994.4	4.46695979e-05
1955.2974185943604	nan	2442.13	3994.3	4.38789853e-05
1956.0413212776184	nan	2442.11	3994.2	4.49615164e-05
1956.8267889022827	nan	2442.12	3994.3	4.44263325e-05
1957.5614836215973	nan	2442.15	3994.3	4.62143332e-05
1958.3012869358063	nan	2442.1	3994.0	4.45236442e-05
1959.0405852794647	nan	2442.11	3993.6	4.40371133e-05
1959.8265285491943	nan	2442.1	3993.8	4.38060112e-05
1960.5604238510132	nan	2442.09	3994.0	4.26869902e-05
1961.3000237941742	nan	2442.08	3994.1	4.4961522e-05
1962.05140042305	nan	2442.07	3993.8	4.45601252e-05
1962.827208518982	nan	2442.07	3994.0	4.45236354e-05
1963.561595439911	nan	2442.03	3994.3	4.40249414e-05
1964.2971527576447	nan	2442.03	3994.3	4.51074723e-05
1965.052719593048	nan	2442.07	3994.3	4.47669008e-05
1965.833666563034	nan	2442.04	3994.0	4.4523628e-05
1966.5664994716644	nan	2442.1	3993.8	4.45479545e-05
1967.301276922226	nan	2442.06	3994.2	4.49128525e-05
1968.051418542862	nan	2442.07	3994.0	4.51682811e-05
1968.825649023056	nan	2442.07	3994.1	4.59832416e-05
1969.5603165626526	nan	2442.05	3994.2	4.54602208e-05
1970.366555929184	nan	2442.05	3994.4	4.48398939e-05
1971.1050143241882	nan	2442.05	3994.1	4.4888547e-05
1971.838945865631	nan	2442.07	3993.9	4.59102619e-05
1972.5722892284393	nan	2442.02	3994.0	4.38060169e-05
1973.3217334747314	nan	2442.04	3993.8	4.58494467e-05
1974.056246995926	nan	2442.07	3993.7	4.36722209e-05
1974.8234672546387	nan	2442.05	3993.6	4.52534464e-05
1975.5580077171326	nan	2442.03	3993.7	4.43655274e-05
1976.291510105133	nan	2442.01	3993.8	4.60440748e-05
1977.0410177707672	nan	2442.0	3993.8	4.49007268e-05
1977.829358100891	nan	2442.02	3993.7	4.52656251e-05
1978.5632920265198	nan	2441.99	3993.5	4.58737889e-05
1979.3661596775055	nan	2442.02	3993.4	4.42317483e-05
1980.173803806305	nan	2442.01	3993.8	4.63724852e-05
1980.9228520393372	nan	2441.98	3993.5	4.58129744e-05
1981.6562297344208	nan	2441.99	3993.5	4.49250551e-05
1982.3885447978973	nan	2441.97	3993.4	4.60197501e-05
1983.149309873581	nan	2442.01	3993.5	4.4487163e-05
1983.8837912082672	nan	2442.0	3993.6	4.5594021e-05
1984.6296639442444	nan	2442.0	3993.5	4.48885511e-05
1985.3648731708527	nan	2442.01	3993.9	4.65670829e-05
1986.1079213619232	nan	2442.03	3994.1	4.45601427e-05
1986.8452696800232	nan	2441.98	3993.8	4.39641344e-05
1987.5784623622894	nan	2441.96	3993.7	4.47182573e-05
1988.3279764652252	nan	2441.98	3993.8	4.37816853e-05
1989.0626680850983	nan	2441.97	3993.7	4.42682162e-05
1989.8234221935272	nan	2441.97	3993.7	4.5423727e-05
1990.593588590622	nan	2441.92	3993.5	4.49858305e-05
1991.3310227394104	nan	2441.97	3993.6	4.48398713e-05
1992.0659861564636	nan	2441.98	3993.6	4.48641979e-05
1992.8228783607483	nan	2441.96	3993.8	4.57399531e-05
1993.554839372635	nan	2441.95	3993.8	4.63237899e-05
1994.2993421554565	nan	2441.96	3993.7	4.49006967e-05
1995.0423867702484	nan	2441.91	3993.6	4.28572675e-05
1995.8319249153137	nan	2441.94	3993.6	4.40857576e-05
1996.565315246582	nan	2441.92	3993.9	4.56791459e-05
1997.2980196475983	nan	2441.89	3993.6	4.4268213e-05
1998.051277399063	nan	2441.93	3993.7	4.58859281e-05
1998.8249943256378	nan	2441.93	3993.7	4.44384988e-05
1999.5570907592773	nan	2441.95	3993.9	4.48520501e-05
2000.2913100719452	nan	2441.92	3993.5	4.7004949e-05
2001.0501980781555	nan	2441.92	3993.5	4.50223298e-05
2001.807716369629	nan	2441.9	3993.7	4.53872279e-05
2002.5403244495392	nan	2441.93	3993.9	4.45479623e-05
2003.2743995189667	nan	2441.89	3993.8	4.60440445e-05
2004.033857345581	nan	2441.89	3993.8	4.56791464e-05
2004.831843137741	nan	2441.85	3993.7	4.48520485e-05
2005.5651817321777	nan	2441.83	3993.7	4.4061436e-05
2006.2994360923767	nan	2441.83	3993.7	4.52655997e-05
2007.039300441742	nan	2441.86	3993.7	4.54237223e-05
