时间秒	热浴温度	A侧	B侧	C侧	D侧
589.4550406932831	2.2675616731923802	1824.94	513.19	2987.7	1789.01
592.4582505226135	2.267232256741433	1825.11	513.25	2987.7	1789.07
595.4541883468628	2.267177352235385	1824.88	513.26	2987.6	1789.15
598.4591226577759	2.267067541734964	1824.89	513.28	2987.6	1789.19
601.452339887619	2.2668479148551435	1824.78	513.32	2987.9	1789.11
604.4586079120636	2.2665733704515363	1824.88	513.37	2987.9	1789.25
607.4550187587738	2.2664635493971916	1824.82	513.39	2987.9	1789.3
610.454282283783	2.2664635493971916	1824.8	513.39	2987.9	1789.28
613.4523303508759	2.2661889887155797	1824.81	513.44	2988.0	1789.37
616.457221031189	2.2660242468962397	1824.74	513.47	2988.4	1789.39
619.453192949295	2.2659693320707537	1824.84	513.48	2988.2	1789.47
622.457227230072	2.26574966841156	1824.94	513.52	2988.2	1789.45
625.4531922340393	2.265420160145419	1824.94	513.58	2988.0	1789.52
628.4596197605133	2.265310320735144	1824.97	513.6	2988.4	1789.56
631.4544110298157	2.265145558579532	1825.08	513.63	2988.5	1789.64
634.4584691524506	2.265145558579532	1825.31	513.63	2988.6	1789.67
637.4548447132111	2.2649807928401264	1825.45	513.66	2988.3	1789.73
640.455968618393	2.264816023589491	1825.36	513.69	2988.8	1789.62
643.4556314945221	2.264706175507582	1825.05	513.71	2988.5	1789.79
646.4559905529022	2.2645414005663302	1825.13	513.74	2988.7	1789.69
649.4560465812683	2.264431548757999	1825.17	513.76	2988.6	1789.8
652.4549512863159	2.2641019847023287	1825.2	513.82	2988.4	1789.83
655.4546751976013	2.263882268355603	1825.33	513.86	2988.7	1789.85
658.4615018367767	2.263882268355603	1825.3	513.86	2988.8	1789.92
661.4542660713196	2.263607615377934	1824.94	513.91	2989.0	1789.89
664.4609010219574	2.263607615377934	1824.99	513.91	2988.8	1790.02
667.4637169837952	2.2633329543334946	1824.99	513.96	2988.9	1790.08
670.4582803249359	2.2632230877328836	1824.94	513.98	2989.1	1789.97
673.4549782276154	2.2630033509089884	1824.81	514.02	2988.7	1790.09
676.4548707008362	2.2628385452067374	1824.88	514.05	2989.1	1790.18
679.4529118537903	2.2628385452067374	1824.82	514.05	2989.5	1790.18
682.4557225704193	2.262453988730872	1824.79	514.12	2989.7	1790.21
685.452850818634	2.262453988730872	1824.72	514.12	2989.2	1790.27
688.4587123394012	2.2623441130203847	1824.77	514.14	2989.2	1790.28
691.4597070217133	2.2622342362690793	1824.7	514.16	2989.2	1790.28
694.4536321163177	2.262124358498754	1824.69	514.18	2989.7	1790.34
697.4532406330109	2.2618496597578344	1824.71	514.23	2989.5	1790.46
700.4596037864685	2.2616848376634695	1824.73	514.26	2989.9	1790.47
703.4587218761444	2.261465071699081	1824.77	514.3	2989.5	1790.46
706.4547207355499	2.261355187406677	1824.62	514.32	2989.8	1790.48
709.4531772136688	2.261355187406677	1824.69	514.32	2990.2	1790.6
712.4579608440399	2.261080473029662	1824.69	514.37	2989.8	1790.55
715.4593322277069	2.2609156420127814	1824.8	514.4	2990.1	1790.62
718.4545907974243	2.2607508092932456	1824.74	514.43	2990.0	1790.7
721.456384897232	2.260640919904166	1824.69	514.45	2990.2	1790.74
724.4592156410217	2.260531029813159	1824.65	514.47	2990.5	1790.73
727.4549131393433	2.2603661934085233	1824.69	514.5	2990.6	1790.79
730.4605853557587	2.2602563016586896	1824.8	514.52	2990.7	1790.79
733.4552192687988	2.260146409283748	1824.69	514.54	2990.8	1790.82
736.4561462402344	2.259926622746405	1824.72	514.58	2990.8	1790.89
739.4603667259216	2.259761781365918	1824.69	514.61	2990.9	1790.93
742.4607229232788	2.2597068339723223	1824.78	514.62	2990.6	1790.91
745.4560554027557	2.2596518864499284	1824.76	514.63	2990.7	1791.01
748.4611518383026	2.25954199102974	1824.76	514.65	2990.5	1790.96
751.4573922157288	2.259267250417852	1824.68	514.7	2990.4	1791.07
754.4609632492065	2.25921230196411	1824.79	514.71	2991.0	1791.14
757.458217382431	2.258937558190038	1824.77	514.76	2990.8	1791.14
760.462522983551	2.258772710820508	1824.92	514.79	2991.2	1791.16
763.459558725357	2.2586078627131347	1824.98	514.82	2991.1	1791.22
766.4590208530426	2.258443013942394	1825.14	514.85	2991.8	1791.29
769.4587807655334	2.2582781645827863	1825.04	514.88	2991.4	1791.29
772.4589197635651	2.25833311443015	1825.11	514.87	2991.5	1791.26
775.4635014533997	2.257948464395143	1825.12	514.94	2992.0	1791.31
778.4595859050751	2.257838563978531	1825.03	514.96	2992.0	1791.44
781.4599981307983	2.2577836137162732	1825.17	514.97	2991.8	1791.41
784.4605696201324	2.257673713097673	1825.08	514.99	2991.6	1791.42
787.4608435630798	2.2573989611313894	1824.98	515.04	2991.9	1791.52
790.46120429039	2.257289060235049	1825.08	515.06	2991.7	1791.57
793.4630346298218	2.2571791593091515	1825.06	515.08	2991.7	1791.54
796.4612851142883	2.257014307913326	1825.03	515.11	2991.8	1791.66
799.4625020027161	2.2569044070104214	1824.98	515.13	2991.6	1791.56
802.4620180130005	2.2567945061554795	1825.12	515.15	2991.8	1791.54
805.4622321128845	2.2565747046781235	1825.13	515.19	2992.0	1791.73
808.4630811214447	2.256464804100044	1825.05	515.21	2991.9	1791.76
811.4631454944611	2.2562450033759407	1825.04	515.25	2992.0	1791.81
814.4630501270294	2.256190053301099	1824.95	515.26	2992.1	1791.82
